Sample_ID,rate.mg.per.L.per.h
S19S_0006-U,-15.11428572
S19S_0007-U,-5.276923075
S19S_0008-U,-4.902564103
S19S_0009-U,-7.333333332
S19S_0010-U,-7.04
S19S_0011-U,-6.293471809
S19S_0012-U,-0.825883838
S19S_0014-U,-13.45037594
S19S_0015-U,-3.183271572
S19S_0016-U,-6.507142858
S19S_0017-U,-4.150649351
S19S_0018-U,-2.90059676
S19S_0019-U,-3.743043221
S19S_0020-U,-4.02123357
S19S_0021-U,-10.9
S19S_0023-U,-26.58571428
S19S_0025-U,-7.678290993
S19S_0026-U,-1.844121176
S19S_0027-U,-1.95136655
S19S_0028-U,-5.291216216
S19S_0029-U,-3.586986463
S19S_0030-U,-2.869343781
S19S_0031-U,-0.392366031
S19S_0032-U,-14.56666667
S19S_0033-U,-1.232970952
S19S_0034-U,-8.746666668
S19S_0035-U,-3.697394541
S19S_0036-U,-5.74676525
S19S_0037-U,-4.55274056
S19S_0038-U,-3.303906694
S19S_0039-U,-32.71428572
S19S_0041-U,-15.62
S19S_0042-U,-16.44
S19S_0050-U,-1.928079829
S19S_0051-U,-0.677314201
S19S_0052-U,-5.147927462
S19S_0053-U,-5.070180304
S19S_0055-U,-10.88
S19S_0059-U,-6.904918034
S19S_0060-U,-1.121584817
S19S_0063-U,-0.513984915
S19S_0064-U,-7.668720379
S19S_0068-U,-0.84774681
S19S_0070-U,-1.042189435
S19S_0071-U,-5.261666668
S19S_0072-U,-6.599453551
S19S_0074-U,-1.663444428
S19S_0076-U,-7.061538462
S19S_0077-U,-1.600169557
S19S_0080-U,-11.14666667
S19S_0081-U,-6.411750307
S19S_0082-U,-27.93333334
S19S_0083-U,-23.78461538
S19S_0084-U,-0.750090785
S19S_0085-U,-2.799705448
S19S_0086-U,-16.92
S19S_0087-U,-10.92815178
S19S_0089-U,-16.52494802
S19S_0090-U,-1.507242467
S19S_0098-U,-9.361904763
S19S_0099-U,-1.361022297
S19S_0100-U,-1.433267909
S19S_0006-M,-1.045253104
S19S_0008-M,-3.41442374
S19S_0009-M,-11.23076923
S19S_0010-M,-0.994415999
S19S_0012-M,-1.923330054
S19S_0017-M,-0.961824988
S19S_0018-M,-0.438232579
S19S_0019-M,-11.46902834
S19S_0021-M,-7.313043477
S19S_0022-M,-0.281150717
S19S_0023-M,-7.23622975
S19S_0025-M,-19.88571429
S19S_0026-M,-1.065634193
S19S_0027-M,-0.843668831
S19S_0028-M,-10.7125
S19S_0029-M,-39.8
S19S_0031-M,-0.335735139
S19S_0032-M,-1.143157208
S19S_0033-M,-0.550030894
S19S_0034-M,-2.53199677
S19S_0035-M,-2.500587544
S19S_0036-M,-1.54768994
S19S_0037-M,-4.521541839
S19S_0038-M,-1.118101978
S19S_0039-M,-3.698377544
S19S_0040-M,-20.8
S19S_0041-M,-28.35
S19S_0042-M,-9.886587436
S19S_0043-M,-10.08
S19S_0050-M,-2.540598097
S19S_0051-M,-16.34285714
S19S_0052-M,-16.52380952
S19S_0053-M,-13.52
S19S_0059-M,-15
S19S_0060-M,-1.842685324
S19S_0062-M,-6.315
S19S_0063-M,-0.637124173
S19S_0064-M,-21.2
S19S_0069-M,-0.324899981
S19S_0070-M,-0.532004016
S19S_0071-M,-25.18571429
S19S_0072-M,-1.10350395
S19S_0073-M,-24.45333333
S19S_0074-M,-0.995739378
S19S_0076-M,-3.920768578
S19S_0077-M,-1.230655845
S19S_0080-M,-6.400000002
S19S_0082-M,-9.655999999
S19S_0083-M,-7.289983022
S19S_0084-M,-1.323874159
S19S_0085-M,-2.345538818
S19S_0086-M,-0.923582423
S19S_0087-M,-11.54666667
S19S_0090-M,-1.183850181
S19S_0097-M,-8.761719834
S19S_0098-M,-5.299361022
S19S_0099-M,-2.767971102
S19S_0100-M,-2.674155578
S19S_0007-D,-3.31875
S19S_0008-D,-2.393037105
S19S_0009-D,-12.01538461
S19S_0010-D,-0.545305907
S19S_0011-D,-81.70000001
S19S_0015-D,-4.226550709
S19S_0016-D,-2.816305789
S19S_0017-D,-15.03076923
S19S_0019-D,-1.431811588
S19S_0020-D,-1.477723835
S19S_0022-D,-0.255760216
S19S_0023-D,-11.29333334
S19S_0025-D,-14.83076923
S19S_0026-D,-6.396958856
S19S_0027-D,-0.414483456
S19S_0028-D,-3.152713364
S19S_0029-D,-26.7
S19S_0031-D,-0.590089933
S19S_0032-D,-4.609615385
S19S_0033-D,-0.67573355
S19S_0034-D,-37.99999999
S19S_0035-D,-3.808505646
S19S_0036-D,-13.75714286
S19S_0037-D,-2.370917372
S19S_0038-D,-2.240704474
S19S_0039-D,-41.80000001
S19S_0040-D,-9.153846154
S19S_0041-D,-1.498911001
S19S_0042-D,-6.268110236
S19S_0043-D,-6.924320264
S19S_0047-D,-11.03333333
S19S_0050-D,-0.877562794
S19S_0051-D,-0.94103442
S19S_0052-D,-4.710754553
S19S_0053-D,-6.044378699
S19S_0060-D,-5.250042122
S19S_0062-D,-0.692135049
S19S_0063-D,-0.384648387
S19S_0064-D,-22.91428572
S19S_0066-D,-0.824004281
S19S_0069-D,-0.297715947
S19S_0070-D,-0.468524401
S19S_0071-D,-14.40223325
S19S_0072-D,-1.01101913
S19S_0073-D,-25.44427481
S19S_0074-D,-1.694535351
S19S_0075-D,-1.330821542
S19S_0076-D,-5.042455775
S19S_0077-D,-1.681482054
S19S_0080-D,-1.018488604
S19S_0082-D,-11.47407407
S19S_0083-D,-4.749486888
S19S_0084-D,-1.069283277
S19S_0085-D,-1.338343393
S19S_0086-D,-4.637762982
S19S_0090-D,-13.31764706
S19S_0097-D,-18.49333333
S19S_0098-D,-7.554110899
S19S_0099-D,-1.743385718
S19S_0100-D,-12.08
